"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","OB_3m3","OB_3m2","OB_3m1","OB_12m1","OB_12m3","OB_29m3","OB_29m2","OB_29m1"
"C4b",1004.64030081594,1.57229639490394,0.129957896858608,12.0985060000977,2.22044604925031e-16,4.39481784297868e-13,467.146305818494,537.908711522348,612.889331712206,777.265064603767,811.359634376507,1454.00335373551,1915.62859291106,1460.92141184766
"Gpr17",376.45485393116,-1.12187211803115,0.128866108033456,-8.7057189446576,2.22044604925031e-16,4.39481784297868e-13,494.625500278405,545.865940982738,511.199173535742,380.036469305684,367.390935565991,241.9372738076,262.058857820507,208.524680152614
"Pcdhb2",157.290457599029,1.40562529495851,0.17724767320968,7.93028912315081,2.22044604925031e-16,4.39481784297868e-13,85.4908272086132,89.1209699563653,74.2063316422851,189.1133859164,160.448646798051,205.448373495634,228.489334711268,226.005791063612
"Ifit1",239.175429748306,1.63421484859638,0.177332736682552,9.21552827283005,2.22044604925031e-16,4.39481784297868e-13,135.869350385117,142.434407340977,113.599816341276,180.064898551979,125.80632533029,426.761486257341,328.11501619675,460.752137582723
"BC061194",97.386494181546,3.10458881914885,0.261972444947125,11.8508220197565,2.22044604925031e-16,4.39481784297868e-13,25.9525725454719,22.2802424890913,13.7419132670898,88.6751761713262,109.396804635035,172.132421036883,180.842269652994,166.070553654477
"Prokr2",170.260016958827,-2.56806038159113,0.185633330968891,-13.8340478414488,2.22044604925031e-16,4.39481784297868e-13,360.282771807727,330.225022606175,288.580178608886,115.820638264589,103.015324364658,56.3198243945561,54.1443921116749,53.6919835123498
"Zc3hav1",297.684679167544,1.12327657393738,0.139989413221083,8.02401087404668,2.22044604925031e-16,4.39481784297868e-13,178.614763989424,221.210978998835,181.393255125586,267.835225986863,255.259210815081,397.411718615107,427.740697682232,452.011582127224
"Vwf",283.205626732897,1.46234901305063,0.160295014762709,9.12286021630432,2.22044604925031e-16,4.39481784297868e-13,134.342728470678,173.467602236497,161.238449000521,260.596436095326,232.468209849449,425.968249294037,515.454612903145,362.108726013522
"Pcdhb14",385.212650477783,0.967875847349567,0.125804988855954,7.69346157216211,1.11022302462516e-15,1.95325237465719e-12,242.732884395884,251.448450948316,287.664051057747,390.894654142989,372.860775797743,485.461021541808,534.946594063348,515.692771874429
"Irf7",44.1648380835969,2.53082416625713,0.330676810510589,7.65346733068265,1.55431223447522e-15,2.46109799206806e-12,7.63310957219761,15.9144589207795,19.2386785739258,23.5260671474947,26.4375611201334,81.7034072202716,87.7139152209134,91.1515068930589
