"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","OB_3m3","OB_3m2","OB_3m1","OB_12m1","OB_12m3","OB_29m3","OB_29m2","OB_29m1"
"Zfp831",1034.54264298796,0.465310441475486,0.114609061713949,4.05997950351296,4.90770238694186e-05,0.0319154020850813,803.003126995188,954.071812300732,834.592199087922,1136.49001297128,1255.32833318702,1120.05059218469,1100.21404770923,1072.59101946764
"Cmpk1",539.740200679318,-0.630388386975648,0.156440014945821,-4.0295853154576,5.58753342809232e-05,0.0341989913642945,761.784335305321,541.091603306504,637.624775592968,442.471032120189,389.270296492998,519.570210963863,450.481342369135,575.628009283564
"Dbi",810.57768613943,-0.480842060351416,0.121234587340285,-3.96621187814804,7.30239536520299e-05,0.0400979004620794,914.446526749274,876.886686534952,980.256479719074,697.638375796862,626.296706535573,840.03794413852,721.20330292751,827.855466713672
"Dmp1",159.788814136722,0.765537300437522,0.193045939435971,3.96557059254507,7.32205774896212e-05,0.0400979004620794,106.863534010767,107.422597715262,129.173984710644,192.732780862168,197.825888381688,210.207795275456,166.764727703959,167.319204433834
"Pcdhb14",385.212650477783,0.546288745544374,0.140739674105049,3.8815547145336,0.000103790793425756,0.0499224331535708,242.732884395884,251.448450948316,287.664051057747,390.894654142989,372.860775797743,485.461021541808,534.946594063348,515.692771874429
"Mef2d",1556.924019666,0.581721677828462,0.149961240561366,3.87914687589167,0.000104823451044104,0.0499224331535708,1103.74764413977,1400.4723850286,1273.41729608366,1596.15317108387,2179.73133235307,1650.72612063481,1853.90398590375,1397.24022210045
"Cx3cl1",3597.9401791218,0.436019998945653,0.112450017855906,3.87745602232248,0.000105554399748059,0.0499224331535708,2984.54584272926,3360.3380011226,3282.48501573219,3864.60895334423,4824.39908440503,3377.60298974676,3664.49245811816,3425.04908777617
"Mamld1",839.493759250922,0.572469640708283,0.148065499024752,3.86632702742306,0.000110486761818736,0.0499832502923458,720.565543615454,712.967759650923,644.037668450943,888.561459186146,1169.63416955625,984.407071459777,872.8076008402,722.968801247687
"Syn1",5605.19852098128,0.444254761633956,0.115495595977798,3.84650824018741,0.000119813103124985,0.0519439724173111,4807.33240857005,5424.4433231477,4711.64399550953,6099.58533235622,7459.03879603211,5261.54077759283,5938.55692680851,5139.4466078333
"Gm3414",200.600291461245,-0.786159633465319,0.205443314250196,-3.82664987826232,0.000129899070362239,0.0540639930847637,312.957492460102,254.631342732472,212.541591864323,177.350352342652,122.159765175789,177.685079780008,152.687185754923,194.789521579688
"Git1",2973.28861749932,0.460824969824413,0.122924675998241,3.74884022334953,0.000177654215790484,0.0540979556707374,2645.63577772369,2489.02137520992,2678.75695953138,3098.20207357776,4069.56113242329,3114.24831792996,3037.50039746496,2653.38290613357
"Arl4a",1166.97616506784,-0.504053366535085,0.132616262517551,-3.80084129175619,0.000144205647189018,0.0540979556707374,1404.49216128436,1163.34694710898,1465.80408182291,1015.24028228804,878.820997234778,1195.40810369854,1002.75414190822,1209.94260519691
"Cebpd",164.785028247064,-0.933844857990726,0.246013306040778,-3.79591198955692,0.000147101681739447,0.0540979556707374,143.502459957315,212.458026592407,214.373846966601,104.057604690842,96.6338440942806,120.572018422148,214.411792762233,212.270632490685
"C4b",1004.64030081594,0.553181612354458,0.1462870000585,3.78148169101314,0.000155897689692197,0.0540979556707374,467.146305818494,537.908711522348,612.889331712206,777.265064603767,811.359634376507,1454.00335373551,1915.62859291106,1460.92141184766
"Itih2",198.592091153696,-0.679158701845051,0.181456841375495,-3.74281121999497,0.000181972940747315,0.0540979556707374,222.88679950817,281.685922897798,264.760862279264,179.160049815537,143.12748606417,159.440629624025,184.090933179695,153.584045860908
"4933409K07Rik",173.055559061014,0.746596842648943,0.198163847361608,3.76757341255369,0.000164842073343183,0.0540979556707374,116.023265497404,154.370251531561,109.935306136719,191.827932125726,237.026410042575,203.861899569027,200.334250813197,171.065156771905
