"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","OB_3m3","OB_3m2","OB_3m1","OB_12m1","OB_12m3","OB_29m3","OB_29m2","OB_29m1"
"Prokr2",170.260016958827,-2.56806038159113,0.185633330968891,218.208723794533,4.13597282343316e-48,6.54889936862407e-44,360.282771807727,330.225022606175,288.580178608886,115.820638264589,103.015324364658,56.3198243945561,54.1443921116749,53.6919835123498
"BC061194",97.386494181546,3.10458881914885,0.261972444947125,156.535025336109,1.02058959411293e-34,8.08000781659204e-31,25.9525725454719,22.2802424890913,13.7419132670898,88.6751761713262,109.396804635035,172.132421036883,180.842269652994,166.070553654477
"C4b",1004.64030081594,1.57229639490394,0.129957896858608,152.879921231544,6.34668447118943e-34,3.34978006389378e-30,467.146305818494,537.908711522348,612.889331712206,777.265064603767,811.359634376507,1454.00335373551,1915.62859291106,1460.92141184766
"Ifit1",239.175429748306,1.63421484859638,0.177332736682552,103.194866147873,3.90408743643065e-23,1.54543301171107e-19,135.869350385117,142.434407340977,113.599816341276,180.064898551979,125.80632533029,426.761486257341,328.11501619675,460.752137582723
"Vwf",283.205626732897,1.46234901305063,0.160295014762709,85.4018361749519,2.85250820567538e-19,9.03332298573279e-16,134.342728470678,173.467602236497,161.238449000521,260.596436095326,232.468209849449,425.968249294037,515.454612903145,362.108726013522
"Gbp3",366.757106027949,1.04903456064998,0.145013349618244,84.8376663841023,3.78211574836624e-19,9.98100345993852e-16,244.259506310323,238.716883811693,325.225280654459,232.546125265621,218.793609270069,621.897779230028,505.708622323044,546.909041358354
"Gpr17",376.45485393116,-1.12187211803115,0.128866108033456,75.5969549719613,3.83998743676362e-17,8.68605158195931e-14,494.625500278405,545.865940982738,511.199173535742,380.036469305684,367.390935565991,241.9372738076,262.058857820507,208.524680152614
"Irf7",44.1648380835969,2.53082416625713,0.330676810510589,73.104316208475,1.33536329199517e-16,2.64301779568144e-13,7.63310957219761,15.9144589207795,19.2386785739258,23.5260671474947,26.4375611201334,81.7034072202716,87.7139152209134,91.1515068930589
"Gbp6",211.485352458003,1.18295464424428,0.163340307006293,67.6353498929733,2.0566973095312e-15,3.61841613323523e-12,119.076509326283,140.04723850286,164.902959205078,166.492167505347,129.452885484791,329.986576734301,301.042820140913,340.881662764453
"Zc3hav1",297.684679167544,1.12327657393738,0.139989413221083,67.3611298980774,2.35893783042736e-15,3.73514216069868e-12,178.614763989424,221.210978998835,181.393255125586,267.835225986863,255.259210815081,397.411718615107,427.740697682232,452.011582127224
"B2m",940.866662508647,0.700907248405509,0.112943641920031,65.54907881193,5.83711687381019e-15,8.4022644163555e-12,870.174491230527,692.278963053909,797.03096949121,731.11777904522,615.35702607207,1284.25064358854,1316.79161615593,1219.93181143176
"Pcdhb2",157.290457599029,1.40562529495851,0.17724767320968,64.877246363935,8.16742117134646e-15,1.07769122355917e-11,85.4908272086132,89.1209699563653,74.2063316422851,189.1133859164,160.448646798051,205.448373495634,228.489334711268,226.005791063612
"Cyp2e1",36.7647110011447,2.66023964096461,0.367689457808612,61.1530972080353,5.25743201730682e-14,6.40355219707971e-11,12.2129753155162,9.54867535246771,11.9096581648112,27.1454620932631,22.7910009656322,60.2860092110742,79.0508124830454,71.1730944233474
"Ifit3",430.105486487368,1.08104272322611,0.177822548613725,60.816600289745,6.22075422254663e-14,7.03567302570024e-11,291.584785657949,267.362909869096,381.109061273958,279.59825956061,233.379849888074,821.000257019234,477.553538424973,689.255230205048
"Oasl2",145.469169801169,1.80129117181057,0.253326594670569,59.5437108518976,1.17556723344122e-13,1.24092877162055e-10,56.4850108342623,63.6578356831181,97.1095204207681,121.249730683242,63.8148027037702,339.505420293944,204.665802182131,217.265235608113
"Pcdhb14",385.212650477783,0.967875847349567,0.125804988855954,59.0444277564484,1.50891723499708e-13,1.49326221868399e-10,242.732884395884,251.448450948316,287.664051057747,390.894654142989,372.860775797743,485.461021541808,534.946594063348,515.692771874429
"Parp14",251.90103550788,0.954092334352189,0.147860976549183,57.3018011476801,3.60638409660166e-13,3.35902857562298e-10,207.620580363775,194.15639883351,163.070704102799,199.971570753705,161.360286836676,356.16339652332,359.518763621521,373.346583027735
"Usp18",55.9847349757862,1.97443387420815,0.294774073109568,56.8336744662088,4.55747606520093e-13,4.00905977868841e-10,19.8460848877138,21.4845195430524,35.7289744944336,38.9084956670105,25.5259210815081,118.192307532238,92.0454665898474,96.1461100104868
"Unc13c",621.234893704841,-0.838564710764993,0.120316427789779,52.5778682777262,3.82702208423365e-12,3.18931935167135e-09,835.062187198418,852.219275207743,802.527734798046,615.297140780631,470.406259930649,443.419462486717,460.227332949237,490.71975628729
"Sox11",754.673825585618,-0.85967423589536,0.122325410789347,52.0115787872924,5.07959595638398e-12,4.0215161186692e-09,1189.23847134839,907.919881430472,933.533974610969,710.306258107052,630.8549067287,534.641713266632,549.024136012384,581.871263180349
"Serpina3n",344.96172461014,0.980634696510616,0.136592521829377,51.8336158398739,5.55230521730316e-12,4.18643813384658e-09,219.833555679291,238.716883811693,246.438311256478,288.646746925031,371.037495720493,475.942177982165,480.802201951673,438.276423554297
"Pcdhb6",292.10032863559,1.10891697540745,0.153858158121913,51.6304495681093,6.14596845982674e-12,4.42342111785894e-09,225.940043337049,178.241939912731,162.15457655166,316.697057754736,246.142810428828,412.483220917876,376.844969097257,418.298011084586
"Lyz2",169.749664700122,1.04181457768764,0.166203646820748,50.2709703122862,1.21282320215981e-11,8.34949677521671e-09,119.076509326283,123.337056636041,119.096581648112,110.391545845937,139.480925909669,229.245482394743,266.390409189441,250.978806650751
"Ifi44",38.4189923453651,1.83278607539877,0.333715414159488,49.3278085618484,1.94358021126096e-11,1.28227704437942e-08,15.2662191443952,23.0759654351303,21.0709336762044,11.7630335737474,19.1444408111311,74.5642745505391,56.3101677961419,86.1569037756311
"Lgals3bp",300.287656325961,1.07362941564798,0.160428415796274,48.7731641303428,2.5647319180054e-11,1.6243986075879e-08,178.614763989424,179.03766285877,252.851204114453,229.831579056294,274.403651626212,475.148941018861,435.320912577866,377.092535365805
"Xdh",139.385051912451,1.28329096289443,0.185188222327078,48.6362590101509,2.746442719754e-11,1.67258361633018e-08,88.5440710374923,86.7338011182484,74.2063316422851,119.440033210358,143.12748606417,222.899586688314,184.090933179695,196.038172359045
"Marcksl1",1890.46374911071,-0.599683677200218,0.0878999086295283,47.5396815676481,4.75214093239202e-11,2.78686664901834e-08,2221.2348855095,2399.90040525355,2322.38334213818,1732.78533028663,1862.48059891146,1558.71063289159,1471.64457759532,1554.57022029943
"Cd24a",333.994081045103,-0.895321495894298,0.138910034502454,44.2473998805615,2.46489938609027e-10,1.38734368670518e-07,503.785231765042,424.120330238774,429.663821484342,327.555242592042,258.905770969582,231.625193284653,249.064203713705,247.23285431268
"Clca1",401.44869539711,-0.857744725254277,0.129161215673559,44.1866474492834,2.54092250312305e-10,1.38734368670518e-07,577.063083658139,498.122564220399,499.28951537093,399.94314150741,372.860775797743,310.155652651711,254.478642924872,299.676187045673
