"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","OB_3m3","OB_3m2","OB_3m1","OB_12m1","OB_12m3","OB_29m3","OB_29m2","OB_29m1"
"Lyz2",169.749664700122,-0.991661996874515,0.184033195678708,-5.38849522890313,1.01748720560124e-08,1.3967555614891e-05,119.076509326283,123.337056636041,119.096581648112,110.391545845937,139.480925909669,229.245482394743,266.390409189441,250.978806650751
"Irf7",44.1648380835969,-1.79508456285402,0.336503810501856,-5.33451481627166,1.42457468044199e-08,1.80515528545546e-05,7.63310957219761,15.9144589207795,19.2386785739258,23.5260671474947,26.4375611201334,81.7034072202716,87.7139152209134,91.1515068930589
"Oasl2",145.469169801169,-1.46102225567185,0.277890337056475,-5.25754969081536,2.28911312127877e-08,2.69346860334466e-05,56.4850108342623,63.6578356831181,97.1095204207681,121.249730683242,63.8148027037702,339.505420293944,204.665802182131,217.265235608113
"Usp18",55.9847349757862,-1.66953983925755,0.319082447710559,-5.23231488048505,2.67046911250901e-08,2.9327091793574e-05,19.8460848877138,21.4845195430524,35.7289744944336,38.9084956670105,25.5259210815081,118.192307532238,92.0454665898474,96.1461100104868
"H2-D1",407.377285331437,-0.800010138439143,0.154582395424506,-5.17529914219661,3.77284359309726e-08,3.8843782818182e-05,270.212078855795,344.548035634877,377.444551069401,313.077662808968,313.604173287099,483.081310651897,573.930556383754,583.119913959706
"Gbp10",166.853337924275,-1.01563341178852,0.197223514147499,-5.14965680526792,4.40211054275608e-08,4.26564511593064e-05,137.395972299557,125.724225474158,140.167515324316,137.5370079392,92.9872839397794,213.38074312867,240.401100975837,247.23285431268
"Ifi204",28.7112527998356,-2.26988960585788,0.446449121792622,-5.08431867161843,6.50044928995896e-08,5.94899450852745e-05,12.2129753155162,14.3230130287016,17.4064234716471,9.04848736442104,13.6746005793793,69.0116158074139,46.5641772160404,47.4487296155649
"Gm4951",37.8025637104823,-1.9682065677868,0.390126530331598,-5.04504670859957,8.19809020669027e-08,7.10774420920046e-05,12.2129753155162,25.4631342732472,26.5676989830403,18.0969747288421,16.4095206952552,60.2860092110742,58.4759434806089,84.9082529962741
"Slfn2",35.7824215927151,-2.00363364955998,0.397864337465348,-5.03597196553081,8.64755576035492e-08,7.12255930201633e-05,15.2662191443952,20.6887965970134,25.651571431901,15.3824285195158,16.4095206952552,49.9739286881273,61.7246070073094,81.1623006582032
"Abca13",32.743933646728,-2.41979017427524,0.490878759765053,-4.92950677970546,1.6066481500765e-07,0.000125454791433605,19.8460848877138,16.7101818668185,13.7419132670898,19.0018234652842,4.55820019312644,88.842539890004,36.818186635939,62.4325389678486
